station_name,distance
Reeves Corner,13.717857640993065
Therapia Lane,13.717930870684446
Royal Oak,13.731510965830203
Ampere Way,13.772352334929314
Belsize Park,13.775288292980942
Church Street,13.79167439177212
Addington Village,13.885806757377642
Rainham,13.887793739383822
Parsons Green,13.903403475524504
Coombe Lane,13.925873290332943
Notting Hill Gate,13.930832561679354
Lloyd Park,13.967939975218922
Maida Vale,13.977349741904044
Colliers Wood,13.996899595801397
Waddon Marsh,14.000944380106278
Swiss Cottage,14.028421232028041
Beddington Lane,14.039967936192662
South Hampstead,14.107574207730796
Northumberland Park,14.119560964151859
Hampstead Heath,14.13292078315178
Wandle Park,14.152215447207615
Hornsey,14.170079183079947
Gravel Hill,14.204906261607814
Turnpike Lane,14.213969746529203
West Kensington,14.292462102186791
Highams Park,14.328711639549082
Fieldway,14.34962270092286
Haydons Road,14.373031187005516
Woodford,14.400033256618137
Fairlop,14.416506065233806
South Croydon,14.46473898618812
Mitcham Junction,14.517278683576722
Finchley Road,14.52179768898752
Putney Bridge,14.523792523008183
Holland Park,14.593083697729398
Westbourne Park,14.617740014014906
Wimbledon Park,14.644055550789755
Kilburn High Road,14.672896259684633
Kensington (Olympia),14.674624516155552
Meridian Water,14.742685019283243
Kilburn Park,14.749939276967885
East Putney,14.759729641317728
White Hart Lane,14.783346718647131
Southfields,14.788404988010663
Barons Court,14.79224056627482
Waddon,14.869796660880827
Highgate,14.890580114721738
Finchley Road and Frognal,14.909484360148467
Mitcham,14.91999079966668
Hampstead,14.975468362583575
King Henry's Drive,14.977536715983398
South Wimbledon,15.064196632508375
Ladbroke Grove,15.10958686220508
Putney,15.109882664947879
Belgrave Walk,15.114972540824184
Wood Green,15.129400034758321
Angel Road,15.152258819863084
Phipps Bridge,15.179086886888546
Hainault,15.196613410764284
West Hampstead,15.20358473912482
New Addington,15.268055991899931
Shepherds Bush,15.348618844318535
West Hampstead Thameslink,15.35212295174168
Queens Park,15.397351408329433
Hammersmith (District),15.457632494273048
Morden Road,15.469282895915578
Latimer Road,15.500285982617722
Hackbridge,15.517429581347637
Alexandra Palace,15.584763706286374
Roding Valley,15.592027293603866
Hammersmith (Met.),15.597426150141986
Chelsfield,15.6653068768671
Wimbledon,15.69228189977973
Elm Park,15.722730027239642
Merton Park,15.740349912327227
Brondesbury,15.796823419892196
Wood Lane,15.863926446147758
Silver Street,15.896244253256993
Goldhawk Road,15.908975630689568
Dundonald Road,15.92185961592223
White City,15.937212527192345
Sanderstead,15.961697291970948
Morden,15.97982492533524
Shepherds Bush Market,15.98030704703255
Kilburn,15.993604165500537
Brondesbury Park,16.028442641906334
Grange Hill,16.220991043362698
Purley Oaks,16.235153436704763
Chigwell,16.273245658359173
Ravenscourt Park,16.384335453614398
Kensal Rise,16.417553446316273
Bowes Park,16.427286859900853
Purfleet,16.432414535167016
East Finchley,16.518121876123388
Kensal Green,16.52325526956077
Romford,16.528100839985477
South Merton,16.549156028346975
Bounds Green,16.56092618548032
Morden South,16.6542233811584
Buckhurst Hill,16.677321464381787
Wimbledon Chase,16.722603226221377
Edmonton Green,16.734961667456044
Barnes,16.78524347091059
Wallington,16.860766240702446
Carshalton,16.877259803663904
Golders Green,16.942409737264086
St Helier,16.987902082328297
Stamford Brook,17.027678405390848
Cricklewood,17.096477379022915
Chingford,17.11116501613096
Willesden Green,17.209609031514287
Palmers Green,17.248383350734553
Hornchurch,17.315307427722153
Knockholt,17.439082487971596
Barnes Bridge,17.46198017031506
East Acton,17.621466101707554
Purley,17.644488379643548
Turnham Green,17.674852932636426
Raynes Park,17.708314207803024
Riddlesdown,17.710910487595605
Arnos Grove,17.796886332306105
Willesden Junction,17.838200312465297
Sutton Common,17.861305841894733
New Southgate,17.919574491223667
Carshalton Beeches,17.93573472876446
Emerson Park,18.234366743985877
Brent Cross,18.258338643695573
Gidea Park,18.264014557369094
Ponders End,18.302735454131227
Dollis Hill,18.347499928149702
Loughton,18.429864149763393
Upminster Bridge,18.443003964946932
Chiswick,18.45675952023556
Acton Central,18.491021578779304
Mortlake,18.514809860572143
Winchmore Hill,18.51810880639959
Reedham,18.539127820591673
Chiswick Park,18.57733962205009
Kenley,18.586700778792306
North Acton,18.596624843350728
